flare_id,duration,att_in,peak_UTC,LC0_BKG,_id,GOES_class,GOES_flux,goes_estimated_min_class,goes_estimated_max_class,goes_estimated_mean_class,goes_estimated_min_flux,goes_estimated_max_flux,goes_estimated_mean_flux,CFL_X_arcsec,CFL_Y_arcsec,start_UTC,end_UTC,LC0_PEAK_COUNTS_4S,LC0_BKG_COUNTS_4S,LC1_PEAK_COUNTS_4S,LC1_BKG_COUNTS_4S,LC2_PEAK_COUNTS_4S,LC2_BKG_COUNTS_4S,LC3_PEAK_COUNTS_4S,LC3_BKG_COUNTS_4S,LC4_PEAK_COUNTS_4S,LC4_BKG_COUNTS_4S
2109251150,2312,False,2021-09-25T11:50:56.364,243.1949641894677,3405,B7.8,7.77887748881767e-07,B4,B7,B5,,,,,,2021-09-25T11:43:12.363,2021-09-25T12:21:44.367,991,247.0,115,49.0,99,67.0,927,799.0,495,431.0
2109251125,1644,False,2021-09-25T11:25:08.362,243.1949641894677,3404,C1.1,1.081718664863729e-06,B6,C1,B8,,,,,,2021-09-25T11:08:28.360,2021-09-25T11:35:52.363,2175,247.0,247,49.0,99,67.0,927,799.0,495,431.0
2109250950,384,False,2021-09-25T09:50:12.352,241.62258684461196,3402,B2.5,2.4552042532377527e-07,B2,B3,B2,,,,,,2021-09-25T09:45:24.352,2021-09-25T09:51:48.353,335,271.0,75,49.0,83,67.0,927,799.0,495,431.0
2109250942,168,False,2021-09-25T09:42:40.352,241.62258684461196,3401,B2.2,2.2422685219680716e-07,B2,B3,B2,,,,,,2021-09-25T09:41:24.351,2021-09-25T09:44:12.352,335,271.0,67,49.0,75,67.0,927,799.0,463,431.0
2109250916,424,False,2021-09-25T09:16:00.350,241.62258684461196,3400,B2.9,2.948188750906411e-07,B2,B3,B2,,,,,,2021-09-25T09:12:00.349,2021-09-25T09:19:04.350,335,271.0,67,49.0,83,67.0,863,799.0,495,431.0
2109250856,1476,False,2021-09-25T08:56:48.348,241.62258684461196,3399,B3.3,3.29617506622526e-07,B3,B4,B3,,,,,,2021-09-25T08:43:44.345,2021-09-25T09:08:20.349,543,271.0,75,49.0,91,67.0,863,799.0,543,431.0
2109250809,1716,False,2021-09-25T08:09:12.341,241.62258684461196,3398,B6.0,6.048841783012904e-07,B6,C1,B9,,,,,,2021-09-25T07:48:04.339,2021-09-25T08:16:40.342,2687,271.0,431,49.0,135,67.0,927,799.0,495,431.0
2109250610,988,False,2021-09-25T06:10:04.329,241.62258684461196,3397,B3.1,3.0858322475069144e-07,B4,B6,B5,,,,,,2021-09-25T06:08:44.329,2021-09-25T06:25:12.331,863,271.0,303,49.0,215,67.0,863,799.0,495,431.0
2109250548,112,False,2021-09-25T05:48:20.327,243.1949641894677,3403,B3.3,3.3008041100401897e-07,B2,B4,B3,,,,,,2021-09-25T05:47:28.327,2021-09-25T05:49:20.327,399,247.0,67,49.0,75,67.0,863,799.0,495,431.0
2109250539,1900,False,2021-09-25T05:39:08.326,241.62258684461196,3396,B3.5,3.475891787729779e-07,B2,B4,B3,,,,,,2021-09-25T05:35:16.326,2021-09-25T06:06:56.329,463,271.0,75,49.0,91,67.0,927,799.0,495,431.0
2109250425,72,False,2021-09-25T04:25:12.318,241.62258684461196,3395,NA,0.0,B2,B2,B2,,,,,,2021-09-25T04:24:36.318,2021-09-25T04:25:48.318,303,271.0,67,49.0,75,67.0,863,799.0,495,431.0
2109250418,132,False,2021-09-25T04:18:40.318,241.62258684461196,3394,NA,0.0,B2,B3,B3,,,,,,2021-09-25T04:17:44.318,2021-09-25T04:19:56.318,399,271.0,75,49.0,83,67.0,863,799.0,495,431.0
2109250349,2848,False,2021-09-25T03:49:08.315,241.62258684461196,3393,C1.4,1.4384264659383916e-06,B10,C2,C1,,,,,,2021-09-25T03:26:40.312,2021-09-25T04:14:08.317,6399,271.0,399,49.0,107,67.0,927,799.0,495,431.0
2109250316,120,False,2021-09-25T03:16:36.311,241.62258684461196,3392,B1.7,1.657104746755067e-07,B2,B4,B3,,,,,,2021-09-25T03:15:36.311,2021-09-25T03:17:36.312,431,271.0,91,49.0,83,67.0,863,799.0,495,431.0
2109250308,300,False,2021-09-25T03:08:48.311,241.62258684461196,3391,NA,0.0,B3,B6,B4,,,,,,2021-09-25T03:07:36.310,2021-09-25T03:12:36.311,799,271.0,167,49.0,91,67.0,927,799.0,495,431.0
2109250250,72,False,2021-09-25T02:50:00.309,241.62258684461196,3390,NA,0.0,B2,B2,B2,,,,,,2021-09-25T02:49:20.309,2021-09-25T02:50:32.309,303,271.0,67,49.0,75,67.0,863,799.0,495,431.0
2109250127,1820,False,2021-09-25T01:27:00.300,242.23212854721928,3389,B9.9,9.928153303917497e-07,B9,C2,C1,,,,,,2021-09-25T01:15:52.299,2021-09-25T01:46:12.302,5375,247.0,463,49.0,135,67.0,927,799.0,543,431.0
2109250103,104,False,2021-09-25T01:03:52.298,242.23212854721928,3388,B1.7,1.658230104339964e-07,B2,B3,B2,,,,,,2021-09-25T01:03:00.298,2021-09-25T01:04:44.298,335,247.0,67,49.0,75,67.0,927,799.0,543,431.0
2109250039,192,False,2021-09-25T00:39:32.295,242.23212854721928,3387,B2.1,2.1003687322718179e-07,B3,B5,B4,,,,,,2021-09-25T00:38:28.295,2021-09-25T00:41:40.296,543,247.0,99,49.0,91,67.0,863,799.0,495,431.0
2109250028,440,False,2021-09-25T00:28:40.294,242.23212854721928,3386,B2.6,2.593131682715466e-07,B3,B5,B4,,,,,,2021-09-25T00:25:24.294,2021-09-25T00:32:44.295,607,247.0,99,49.0,91,67.0,863,799.0,543,431.0
2109250008,260,False,2021-09-25T00:08:52.292,242.23212854721928,3385,B2.0,2.0081211005162913e-07,B3,B4,B3,,,,,,2021-09-25T00:07:44.292,2021-09-25T00:12:04.293,495,247.0,99,49.0,83,67.0,927,799.0,495,431.0
2109242353,280,False,2021-09-24T23:53:04.291,242.23212854721928,3384,B1.9,1.8849763705475198e-07,B2,B2,B2,,,,,,2021-09-24T23:50:56.290,2021-09-24T23:55:36.291,303,247.0,67,49.0,83,67.0,863,799.0,495,431.0
2109242342,108,False,2021-09-24T23:42:32.289,242.23212854721928,3383,B1.6,1.554299018380334e-07,B2,B2,B2,,,,,,2021-09-24T23:41:32.289,2021-09-24T23:43:20.290,303,247.0,61,49.0,83,67.0,927,799.0,463,431.0
2109242334,300,False,2021-09-24T23:34:16.289,242.23212854721928,3382,B2.0,2.0097897390769504e-07,B2,B4,B3,,,,,,2021-09-24T23:32:40.288,2021-09-24T23:37:40.289,463,247.0,91,49.0,91,67.0,863,799.0,495,431.0
2109242251,216,False,2021-09-24T22:51:40.284,242.23212854721928,3381,B3.3,3.2706893193790165e-07,B6,C1,B8,,,,,,2021-09-24T22:50:28.284,2021-09-24T22:54:04.285,2175,247.0,735,49.0,367,67.0,863,799.0,495,431.0
2109242228,1144,False,2021-09-24T22:28:16.282,242.23212854721928,3380,B2.3,2.2870541727115778e-07,B2,B4,B3,,,,,,2021-09-24T22:19:24.281,2021-09-24T22:38:28.283,399,247.0,67,49.0,83,67.0,927,799.0,495,431.0
2109242215,280,False,2021-09-24T22:15:20.281,242.23212854721928,3379,B1.7,1.7496414272955008e-07,B2,B3,B2,,,,,,2021-09-24T22:12:16.280,2021-09-24T22:16:56.281,335,247.0,61,49.0,75,67.0,927,799.0,495,431.0
2109242146,188,False,2021-09-24T21:46:04.278,242.23212854721928,3378,B1.5,1.5160669875058375e-07,B2,B2,B2,,,,,,2021-09-24T21:43:56.277,2021-09-24T21:47:04.278,303,247.0,75,49.0,91,67.0,863,799.0,495,431.0
2109242126,368,False,2021-09-24T21:26:20.276,242.23212854721928,3377,B3.5,3.4697131923167035e-07,B6,C1,B9,,,,,,2021-09-24T21:23:48.275,2021-09-24T21:29:56.276,2687,247.0,463,49.0,167,67.0,927,799.0,495,431.0
2109242113,232,False,2021-09-24T21:13:20.274,242.23212854721928,3376,B2.5,2.5203738118761976e-07,B6,C1,B8,,,,,,2021-09-24T21:12:04.274,2021-09-24T21:15:56.275,2431,247.0,607,49.0,271,67.0,927,799.0,495,431.0
2109242019,268,False,2021-09-24T20:19:56.269,242.23212854721928,3375,B2.4,2.408802117770392e-07,B3,B5,B4,,,,,,2021-09-24T20:18:44.269,2021-09-24T20:23:12.270,671,247.0,115,49.0,83,67.0,927,799.0,495,431.0
2109241944,172,False,2021-09-24T19:44:24.265,242.23212854721928,3374,B1.7,1.7108378358443588e-07,B2,B3,B2,,,,,,2021-09-24T19:43:44.265,2021-09-24T19:46:36.265,335,247.0,67,49.0,83,67.0,863,799.0,463,431.0
2109241805,2616,False,2021-09-24T18:05:24.255,242.23212854721928,3373,B5.4,5.361671355785802e-07,B4,B8,B6,,,,,,2021-09-24T17:57:44.254,2021-09-24T18:41:20.259,1215,247.0,115,49.0,91,67.0,863,799.0,495,431.0
2109241759,104,False,2021-09-24T17:59:28.254,229.4,3372,B2.0,2.0277967394122243e-07,B2,B4,B3,,,,,,2021-09-24T17:58:36.254,2021-09-24T18:00:20.254,463,247.0,99,49.0,91,67.0,863,799.0,463,431.0
2109241736,116,False,2021-09-24T17:36:32.252,229.4,3371,B1.8,1.7937482255092618e-07,B2,B3,B2,,,,,,2021-09-24T17:35:24.252,2021-09-24T17:37:20.252,335,247.0,67,49.0,99,67.0,863,799.0,495,431.0
2109241619,1212,False,2021-09-24T16:19:32.244,229.4,3370,B4.0,4.033578591133846e-07,B3,B5,B4,,,,,,2021-09-24T16:07:28.243,2021-09-24T16:27:40.245,543,247.0,91,49.0,99,67.0,927,799.0,495,431.0
2109241601,388,False,2021-09-24T16:01:36.242,229.4,3369,B1.9,1.8565948778359598e-07,B2,B3,B3,,,,,,2021-09-24T15:57:40.242,2021-09-24T16:04:08.243,367,247.0,67,49.0,91,67.0,927,799.0,495,431.0
2109241429,160,False,2021-09-24T14:29:08.233,229.4,3368,B1.7,1.7148768449715135e-07,B2,B2,B2,,,,,,2021-09-24T14:28:12.233,2021-09-24T14:30:52.233,303,247.0,67,49.0,83,67.0,863,799.0,463,431.0
2109241332,44,False,2021-09-24T13:32:36.227,229.4,3367,B1.5,1.4926882840882172e-07,B2,B2,B2,,,,,,2021-09-24T13:32:12.227,2021-09-24T13:32:56.227,271,247.0,67,49.0,75,67.0,863,799.0,495,431.0
2109241256,472,False,2021-09-24T12:56:52.223,229.4,3366,B2.3,2.2937534538414184e-07,B2,B3,B2,,,,,,2021-09-24T12:53:36.223,2021-09-24T13:01:28.224,335,247.0,67,49.0,91,67.0,863,799.0,495,431.0
2109241208,160,False,2021-09-24T12:08:04.218,229.4,3365,B2.3,2.3365375056982884e-07,B2,B2,B2,,,,,,2021-09-24T12:06:28.218,2021-09-24T12:09:08.218,303,247.0,67,49.0,91,67.0,863,799.0,463,431.0
2109241004,536,False,2021-09-24T10:04:00.206,236.8666666666667,3364,B3.0,2.963554948109959e-07,B3,B5,B4,,,,,,2021-09-24T09:59:32.205,2021-09-24T10:08:28.206,543,247.0,75,49.0,91,67.0,863,799.0,495,431.0
2109240657,988,False,2021-09-24T06:57:08.186,236.8666666666667,3363,C3.0,2.988227151945466e-06,C2,C4,C3,,,,,,2021-09-24T06:53:40.186,2021-09-24T07:10:08.188,19455,247.0,1087,49.0,167,67.0,927,799.0,495,431.0
2109240633,380,False,2021-09-24T06:33:00.184,236.8666666666667,3362,B2.4,2.3610846255905926e-07,B2,B3,B2,,,,,,2021-09-24T06:31:32.184,2021-09-24T06:37:52.184,335,247.0,67,49.0,91,67.0,863,799.0,495,431.0
2109240627,140,False,2021-09-24T06:27:40.184,236.8666666666667,3361,B2.1,2.1267972272198676e-07,B2,B4,B3,,,,,,2021-09-24T06:26:24.183,2021-09-24T06:28:44.184,463,247.0,83,49.0,83,67.0,863,799.0,495,431.0
2109240614,264,False,2021-09-24T06:14:56.182,236.8666666666667,3360,B2.5,2.5065060071938206e-07,B4,B6,B5,,,,,,2021-09-24T06:13:24.182,2021-09-24T06:17:48.183,863,247.0,107,49.0,99,67.0,863,799.0,495,431.0
2109240445,92,False,2021-09-24T04:45:24.173,236.8666666666667,3359,NA,0.0,B2,B2,B2,,,,,,2021-09-24T04:44:48.173,2021-09-24T04:46:20.173,303,247.0,61,49.0,83,67.0,863,799.0,463,431.0
2109240403,120,False,2021-09-24T04:03:28.169,236.8666666666667,3358,B1.6,1.641895579496122e-07,B2,B2,B2,,,,,,2021-09-24T04:02:48.169,2021-09-24T04:04:48.169,303,247.0,67,49.0,83,67.0,863,799.0,495,431.0
2109240303,280,False,2021-09-24T03:03:00.163,236.8666666666667,3357,B1.9,1.9070134271714778e-07,B2,B3,B3,,,,,,2021-09-24T03:01:16.163,2021-09-24T03:05:56.163,367,247.0,83,49.0,83,67.0,863,799.0,495,431.0
